RegionID,RegionName,SizeRank,MsaName,ZORI
61639,10025,1,"New York, NY",3133
84654,60657,2,"Chicago, IL",1534
61637,10023,3,"New York, NY",3407
91982,77494,4,"Houston, TX",1563
84616,60614,5,"Chicago, IL",1973
91940,77449,6,"Houston, TX",1568
61616,10002,7,"New York, NY",3434
91733,77084,8,"Houston, TX",1637
93144,79936,9,"El Paso, TX",1233
84640,60640,10,"Chicago, IL",1355
62037,11226,11,"New York, NY",2185
92593,78660,13,"Austin, TX",1695
97564,94109,14,"San Francisco, CA",2821
61630,10016,16,"New York, NY",3756
74101,37013,17,"Nashville, TN",1740
84646,60647,19,"Chicago, IL",1637
62012,11201,20,"New York, NY",3489
62087,11375,22,"New York, NY",2093
96107,90250,23,"Los Angeles-Long Beach-Anaheim, CA",1853
92271,78130,24,"San Antonio, TX",1482
74242,37211,25,"Nashville, TN",1437
61643,10029,26,"New York, NY",2435
61623,10009,27,"New York, NY",3228
92036,77573,28,"Houston, TX",1531
84620,60618,29,"Chicago, IL",1525
92045,77584,30,"Houston, TX",1680
61625,10011,31,"New York, NY",3951
66126,20002,32,"Washington, DC",2308
61703,10128,33,"New York, NY",2587
69816,28269,34,"Charlotte, NC",1750
92551,78613,35,"Austin, TX",1747
91926,77433,36,"Houston, TX",1661
71067,30349,38,"Atlanta, GA",1816
93123,79912,39,"El Paso, TX",1504
90654,75052,40,"Dallas-Fort Worth, TX",1592
97771,94565,41,"San Francisco, CA",2690
62017,11206,43,"New York, NY",2968
96027,90046,45,"Los Angeles-Long Beach-Anaheim, CA",2803
66133,20009,46,"Washington, DC",2271
91922,77429,47,"Houston, TX",1757
92341,78245,48,"San Antonio, TX",1476
91968,77479,49,"Houston, TX",1792
61802,10462,50,"New York, NY",1797
84615,60613,52,"Chicago, IL",1533
70829,30044,53,"Atlanta, GA",1883
61633,10019,54,"New York, NY",3648
86026,63376,55,"St. Louis, MO",1271
61617,10003,56,"New York, NY",3444
69823,28277,57,"Charlotte, NC",1810
84627,60625,58,"Chicago, IL",1368
70828,30043,59,"Atlanta, GA",1900
62040,11230,60,"New York, NY",2195
61803,10463,63,"New York, NY",2200
62020,11209,65,"New York, NY",1841
70874,30096,66,"Atlanta, GA",1777
62032,11221,67,"New York, NY",2612
60545,7030,68,"New York, NY",2958
99534,98052,69,"Seattle, WA",2385
70810,30024,70,"Atlanta, GA",1974
84612,60610,71,"Chicago, IL",2439
92617,78704,72,"Austin, TX",2164
91726,77077,73,"Houston, TX",1344
94748,85032,74,"Phoenix, AZ",1702
91889,77379,75,"Houston, TX",1235
61638,10024,77,"New York, NY",2837
92598,78666,78,"Austin, TX",1323
66843,21234,79,"Baltimore, MD",1515
67732,23464,81,"Virginia Beach, VA",1678
73221,34787,82,"Orlando, FL",2263
90795,75243,85,"Dallas-Fort Worth, TX",1079
69672,28027,87,"Charlotte, NC",1653
62018,11207,88,"New York, NY",2461
97711,94501,89,"San Francisco, CA",2418
84621,60619,93,"Chicago, IL",972
92654,78745,94,"Austin, TX",1650
97565,94110,95,"San Francisco, CA",3853
67730,23462,96,"Virginia Beach, VA",1639
61798,10458,98,"New York, NY",1764
90665,75067,99,"Dallas-Fort Worth, TX",1503
96015,90034,100,"Los Angeles-Long Beach-Anaheim, CA",2372
93263,80134,101,"Denver, CO",2116
72442,33139,102,"Miami-Fort Lauderdale, FL",2495
84613,60611,103,"Chicago, IL",2497
98325,95630,104,"Sacramento, CA",2443
77007,44107,106,"Cleveland, OH",1180
62022,11211,108,"New York, NY",3412
94870,85281,110,"Phoenix, AZ",1801
62088,11377,111,"New York, NY",2051
96239,90805,113,"Los Angeles-Long Beach-Anaheim, CA",1690
60639,7302,114,"New York, NY",2936
96193,90650,115,"Los Angeles-Long Beach-Anaheim, CA",2358
95048,85710,117,"Tucson, AZ",1095
96990,92683,118,"Los Angeles-Long Beach-Anaheim, CA",2419
94820,85225,119,"Phoenix, AZ",1798
71005,30281,121,"Atlanta, GA",1800
62067,11355,123,"New York, NY",1914
62048,11238,124,"New York, NY",2975
92576,78641,125,"Austin, TX",1920
61790,10314,126,"New York, NY",2103
65810,19143,127,"Philadelphia, PA",1292
96467,91709,129,"Riverside, CA",2793
62026,11215,130,"New York, NY",2831
84619,60617,132,"Chicago, IL",1284
71864,32210,134,"Jacksonville, FL",1387
96007,90026,137,"Los Angeles-Long Beach-Anaheim, CA",2470
91950,77459,139,"Houston, TX",1978
96545,91910,140,"San Diego, CA",2185
69431,27587,141,"Raleigh, NC",1737
70825,30040,142,"Atlanta, GA",2079
99142,97229,143,"Portland, OR",2131
91198,76028,146,"Dallas-Fort Worth, TX",1836
72901,33908,147,"Fort Myers, FL",1771
90657,75056,149,"Dallas-Fort Worth, TX",1747
94890,85308,151,"Phoenix, AZ",1897
92336,78240,153,"San Antonio, TX",1340
72362,33024,158,"Miami-Fort Lauderdale, FL",2237
99500,98012,159,"Seattle, WA",2426
71038,30318,162,"Atlanta, GA",1797
98304,95608,165,"Sacramento, CA",1717
62093,11385,167,"New York, NY",2447
72737,33647,168,"Tampa, FL",2011
96987,92677,169,"Los Angeles-Long Beach-Anaheim, CA",2911
58660,2148,171,"Boston, MA",2437
93203,80013,173,"Denver, CO",1936
96047,90066,174,"Los Angeles-Long Beach-Anaheim, CA",2441
66705,20906,175,"Washington, DC",1920
60499,6902,178,"Stamford, CT",2727
70953,30188,180,"Atlanta, GA",1971
96817,92336,181,"Riverside, CA",3101
62085,11373,184,"New York, NY",1895
69699,28078,186,"Charlotte, NC",1817
84622,60620,187,"Chicago, IL",1068
98432,95823,189,"Sacramento, CA",1916
96825,92345,190,"Riverside, CA",
69450,27610,191,"Raleigh, NC",1717
73014,34135,192,"Fort Myers, FL",2441
95314,87120,193,"Albuquerque, NM",1318
90638,75035,195,"Dallas-Fort Worth, TX",2155
99563,98103,196,"Seattle, WA",2132
91941,77450,197,"Houston, TX",1679
98411,95747,198,"Sacramento, CA",2548
95817,89121,199,"Las Vegas, NV",1297
69336,27406,200,"Greensboro, NC",1511
97023,92804,201,"Los Angeles-Long Beach-Anaheim, CA",2020
90780,75228,203,"Dallas-Fort Worth, TX",1101
96667,92126,204,"San Diego, CA",2780
61642,10028,205,"New York, NY",2610
66135,20011,207,"Washington, DC",2024
91325,76244,209,"Dallas-Fort Worth, TX",2034
96882,92503,210,"Riverside, CA",
71871,32218,213,"Jacksonville, FL",1657
67180,22191,214,"Washington, DC",1993
71902,32256,216,"Jacksonville, FL",1578
62043,11233,217,"New York, NY",2393
67655,23320,218,"Virginia Beach, VA",1802
96643,92101,221,"San Diego, CA",2729
96000,90019,222,"Los Angeles-Long Beach-Anaheim, CA",2631
73183,34711,223,"Orlando, FL",1951
70835,30052,224,"Atlanta, GA",1941
91744,77095,226,"Houston, TX",1595
60518,7002,227,"New York, NY",1745
70826,30041,228,"Atlanta, GA",2120
84285,60016,229,"Chicago, IL",1544
97743,94536,231,"San Francisco, CA",2813
95785,89052,232,"Las Vegas, NV",1865
90226,74012,233,"Tulsa, OK",1301
96934,92592,237,"Riverside, CA",2836
95813,89117,239,"Las Vegas, NV",1666
70859,30080,240,"Atlanta, GA",1772
66125,20001,241,"Washington, DC",2630
70294,29072,244,"Columbia, SC",1625
71895,32244,246,"Jacksonville, FL",1614
66785,21117,247,"Baltimore, MD",1877
61641,10027,248,"New York, NY",2599
96477,91730,251,"Riverside, CA",2752
90759,75206,254,"Dallas-Fort Worth, TX",1825
95985,90004,255,"Los Angeles-Long Beach-Anaheim, CA",2079
74185,37128,256,"Nashville, TN",1685
96651,92109,257,"San Diego, CA",2631
70842,30062,258,"Atlanta, GA",1931
84629,60628,259,"Chicago, IL",1358
60599,7093,260,"New York, NY",1903
72247,32822,261,"Orlando, FL",1660
71050,30331,262,"Atlanta, GA",1724
58743,2360,264,"Boston, MA",2645
74187,37130,266,"Nashville, TN",1505
72488,33186,267,"Miami-Fort Lauderdale, FL",2413
58666,2155,268,"Boston, MA",2794
61895,10701,269,"New York, NY",2491
96368,91342,271,"Los Angeles-Long Beach-Anaheim, CA",
96208,90706,272,"Los Angeles-Long Beach-Anaheim, CA",1650
97991,95123,274,"San Jose, CA",2802
96590,92021,275,"San Diego, CA",1870
62084,11372,279,"New York, NY",2396
67182,22193,280,"Washington, DC",1922
84647,60649,283,"Chicago, IL",1104
69487,27703,285,"Durham, NC",1653
67722,23454,286,"Virginia Beach, VA",1928
84628,60626,287,"Chicago, IL",1269
72393,33064,288,"Miami-Fort Lauderdale, FL",1791
96959,92627,290,"Los Angeles-Long Beach-Anaheim, CA",2616
72365,33027,291,"Miami-Fort Lauderdale, FL",2641
95043,85705,292,"Tucson, AZ",990
72530,33311,293,"Miami-Fort Lauderdale, FL",1897
66242,20147,295,"Washington, DC",2225
96006,90025,297,"Los Angeles-Long Beach-Anaheim, CA",2941
66683,20878,298,"Washington, DC",2008
70791,30004,301,"Atlanta, GA",2129
67787,23666,302,"Virginia Beach, VA",1447
417444,85142,303,"Phoenix, AZ",2051
99961,98682,304,"Portland, OR",1713
67598,23223,308,"Richmond, VA",1326
62029,11218,309,"New York, NY",2214
69497,27713,310,"Durham, NC",1545
84624,60622,317,"Chicago, IL",1935
70496,29464,318,"Charleston, SC",1950
84618,60616,319,"Chicago, IL",1627
73409,35242,321,"Birmingham, AL",1270
93205,80015,323,"Denver, CO",2454
61635,10021,326,"New York, NY",2799
93449,80525,327,"Fort Collins, CO",1609
70904,30127,328,"Atlanta, GA",1882
72532,33313,330,"Miami-Fort Lauderdale, FL",1572
96008,90027,332,"Los Angeles-Long Beach-Anaheim, CA",2308
74145,37064,333,"Nashville, TN",1986
74147,37066,334,"Nashville, TN",1497
99575,98115,335,"Seattle, WA",2228
97774,94568,338,"San Francisco, CA",2954
65791,19124,339,"Philadelphia, PA",1104
97952,95051,340,"San Jose, CA",3174
96364,91335,341,"Los Angeles-Long Beach-Anaheim, CA",2478
72252,32828,343,"Orlando, FL",2056
71878,32225,344,"Jacksonville, FL",1834
91261,76116,345,"Dallas-Fort Worth, TX",1346
96221,90731,346,"Los Angeles-Long Beach-Anaheim, CA",2256
91656,77007,348,"Houston, TX",2244
94843,85251,348,"Phoenix, AZ",1931
67720,23452,349,"Virginia Beach, VA",1628
90727,75150,350,"Dallas-Fort Worth, TX",1674
70984,30253,351,"Atlanta, GA",1894
74183,37122,352,"Nashville, TN",2105
70909,30135,353,"Atlanta, GA",1833
95770,89031,355,"Las Vegas, NV",1961
70658,29681,359,"Greenville, SC",1741
84617,60615,360,"Chicago, IL",1618
60594,7087,361,"New York, NY",2037
72538,33319,363,"Miami-Fort Lauderdale, FL",1578
99581,98122,365,"Seattle, WA",2056
66825,21215,366,"Baltimore, MD",1208
96962,92630,369,"Los Angeles-Long Beach-Anaheim, CA",2706
87073,66061,370,"Kansas City, MO",1230
67719,23451,372,"Virginia Beach, VA",1809
97717,94509,373,"San Francisco, CA",2369
98413,95758,375,"Sacramento, CA",2371
84641,60641,377,"Chicago, IL",1311
92345,78249,379,"San Antonio, TX",1419
95819,89123,380,"Las Vegas, NV",1659
66787,21122,381,"Baltimore, MD",2100
95844,89148,382,"Las Vegas, NV",1978
91706,77057,384,"Houston, TX",1546
65933,19446,385,"Philadelphia, PA",1721
92350,78254,387,"San Antonio, TX",1679
97576,94122,388,"San Francisco, CA",3351
62004,11101,390,"New York, NY",3330
69491,27707,393,"Durham, NC",1446
73089,34293,395,"North Port-Sarasota-Bradenton, FL",2268
70482,29445,396,"Charleston, SC",1643
99589,98133,397,"Seattle, WA",1807
90668,75070,399,"Dallas-Fort Worth, TX",1732
84656,60660,400,"Chicago, IL",1312
69768,28205,401,"Charlotte, NC",1632
90612,75002,402,"Dallas-Fort Worth, TX",2095
74214,37167,409,"Nashville, TN",1761
62024,11213,413,"New York, NY",2314
71897,32246,413,"Jacksonville, FL",1705
66043,19720,414,"Philadelphia, PA",1344
66832,21222,417,"Baltimore, MD",1464
65787,19120,420,"Philadelphia, PA",1257
67189,22204,423,"Washington, DC",1990
69378,27519,424,"Raleigh, NC",1813
69489,27705,426,"Durham, NC",1322
94871,85282,429,"Phoenix, AZ",1776
66679,20874,430,"Washington, DC",1809
70377,29223,431,"Columbia, SC",1201
71344,30909,432,"Augusta, GA",1405
70513,29485,433,"Charleston, SC",1551
69779,28216,434,"Charlotte, NC",1673
61646,10032,435,"New York, NY",2258
97748,94541,436,"San Francisco, CA",2329
97745,94538,437,"San Francisco, CA",2891
92657,78748,440,"Austin, TX",1683
91291,76179,441,"Dallas-Fort Worth, TX",1891
96236,90802,442,"Los Angeles-Long Beach-Anaheim, CA",1969
94957,85383,444,"Phoenix, AZ",2414
84340,60085,446,"Chicago, IL",1252
92667,78758,447,"Austin, TX",1760
97721,94513,448,"San Francisco, CA",3104
69778,28215,449,"Charlotte, NC",1756
72199,32765,450,"Orlando, FL",1945
399648,83646,451,"Boise City, ID",2251
96186,90631,455,"Los Angeles-Long Beach-Anaheim, CA",2428
70991,30263,457,"Atlanta, GA",1732
96646,92104,458,"San Diego, CA",2166
66666,20852,459,"Washington, DC",2062
91885,77375,459,"Houston, TX",1617
84637,60637,461,"Chicago, IL",1471
96965,92647,462,"Los Angeles-Long Beach-Anaheim, CA",2683
95318,87124,464,"Albuquerque, NM",1568
72220,32792,466,"Orlando, FL",1633
72653,33511,468,"Tampa, FL",1840
94799,85204,470,"Phoenix, AZ",1499
96690,92154,471,"San Diego, CA",2326
90764,75211,474,"Dallas-Fort Worth, TX",1233
70846,30066,475,"Atlanta, GA",2079
66834,21224,476,"Baltimore, MD",1947
94921,85345,478,"Phoenix, AZ",1713
96952,92618,478,"Los Angeles-Long Beach-Anaheim, CA",3136
92651,78741,479,"Austin, TX",1592
96657,92115,480,"San Diego, CA",2127
95806,89110,485,"Las Vegas, NV",1295
74113,37027,487,"Nashville, TN",2563
94883,85301,488,"Phoenix, AZ",1226
94738,85022,489,"Phoenix, AZ",1702
82125,55124,491,"Minneapolis-St Paul, MN",1696
97792,94587,492,"San Francisco, CA",2765
84610,60608,493,"Chicago, IL",1461
92597,78664,494,"Austin, TX",1720
399576,33578,495,"Tampa, FL",2070
72617,33458,496,"Miami-Fort Lauderdale, FL",2767
66758,21061,500,"Baltimore, MD",1615
65772,19104,501,"Philadelphia, PA",1635
96964,92646,502,"Los Angeles-Long Beach-Anaheim, CA",2804
61645,10031,503,"New York, NY",2337
62027,11216,505,"New York, NY",2541
69789,28227,507,"Charlotte, NC",1710
67657,23322,508,"Virginia Beach, VA",1836
93133,79924,508,"El Paso, TX",1113
96954,92620,509,"Los Angeles-Long Beach-Anaheim, CA",3582
92662,78753,511,"Austin, TX",1461
98848,96706,513,"Urban Honolulu, HI",3220
65742,19067,516,"Philadelphia, PA",2163
90690,75098,517,"Dallas-Fort Worth, TX",1707
65801,19134,518,"Philadelphia, PA",1282
84399,60148,519,"Chicago, IL",1758
70878,30101,521,"Atlanta, GA",2014
95790,89074,522,"Las Vegas, NV",1813
70839,30058,523,"Atlanta, GA",1693
72581,33414,525,"Miami-Fort Lauderdale, FL",3289
97926,95014,525,"San Jose, CA",3606
99631,98208,526,"Seattle, WA",1828
92349,78253,532,"San Antonio, TX",1663
94724,85008,533,"Phoenix, AZ",1514
69773,28210,534,"Charlotte, NC",1779
70862,30083,537,"Atlanta, GA",1508
95799,89103,538,"Las Vegas, NV",1469
72203,32771,539,"Orlando, FL",1627
96966,92648,542,"Los Angeles-Long Beach-Anaheim, CA",2749
96671,92130,543,"San Diego, CA",3676
93206,80016,544,"Denver, CO",1971
72599,33433,547,"Miami-Fort Lauderdale, FL",2618
75885,41042,551,"Cincinnati, OH",1342
96664,92122,552,"San Diego, CA",2998
91883,77373,553,"Houston, TX",1529
67723,23455,555,"Virginia Beach, VA",1880
66708,20910,556,"Washington, DC",1944
70511,29483,557,"Charleston, SC",1844
94847,85255,559,"Phoenix, AZ",2416
58649,2135,560,"Boston, MA",2192
98341,95648,561,"Sacramento, CA",2912
65815,19148,562,"Philadelphia, PA",1518
67247,22407,563,"Washington, DC",1781
72353,33015,565,"Miami-Fort Lauderdale, FL",1615
62066,11354,566,"New York, NY",2118
81427,53711,571,"Madison, WI",1450
90757,75204,572,"Dallas-Fort Worth, TX",1889
60642,7305,573,"New York, NY",1701
60560,7047,574,"New York, NY",2531
96017,90036,575,"Los Angeles-Long Beach-Anaheim, CA",3026
72622,33463,577,"Miami-Fort Lauderdale, FL",2200
90666,75068,578,"Dallas-Fort Worth, TX",2241
91280,76137,579,"Dallas-Fort Worth, TX",1727
95843,89147,580,"Las Vegas, NV",1834
92668,78759,581,"Austin, TX",1560
69670,28025,583,"Charlotte, NC",1692
69443,27603,585,"Raleigh, NC",1638
70854,30075,586,"Atlanta, GA",2741
58663,2151,587,"Boston, MA",2390
99093,97124,588,"Portland, OR",1872
61628,10014,589,"New York, NY",3986
97993,95125,590,"San Jose, CA",3234
90669,75071,593,"Dallas-Fort Worth, TX",1764
99569,98109,595,"Seattle, WA",2432
94282,83709,597,"Boise City, ID",1963
85990,63301,598,"St. Louis, MO",1148
61229,8873,599,"New York, NY",2184
60363,6511,601,"New Haven, CT",2018
91212,76051,603,"Dallas-Fort Worth, TX",1633
99519,98034,603,"Seattle, WA",2281
92575,78640,606,"Austin, TX",1669
96917,92562,607,"Riverside, CA",2322
98946,96815,608,"Urban Honolulu, HI",2217
65798,19131,609,"Philadelphia, PA",1434
60322,6457,610,"Hartford, CT",1487
66035,19711,613,"Philadelphia, PA",2273
69388,27529,614,"Raleigh, NC",1699
93137,79928,615,"El Paso, TX",1507
67181,22192,617,"Washington, DC",1728
72444,33141,618,"Miami-Fort Lauderdale, FL",2638
67186,22201,619,"Washington, DC",2280
70847,30067,620,"Atlanta, GA",1564
70891,30114,620,"Atlanta, GA",1943
84273,60004,622,"Chicago, IL",1607
96659,92117,624,"San Diego, CA",3078
60643,7306,625,"New York, NY",1851
72543,33324,626,"Miami-Fort Lauderdale, FL",2058
94796,85201,627,"Phoenix, AZ",1465
92305,78209,628,"San Antonio, TX",1524
97548,94086,629,"San Jose, CA",3015
71816,32137,630,"Daytona Beach, FL",1885
69209,27106,631,"Winston-Salem, NC",1282
62223,11746,633,"New York, NY",3015
93435,80504,633,"Boulder, CO",1982
72480,33178,636,"Miami-Fort Lauderdale, FL",2422
65811,19144,637,"Philadelphia, PA",1346
67541,23112,638,"Richmond, VA",1696
78942,48066,638,"Detroit, MI",1141
96669,92128,639,"San Diego, CA",2871
93295,80219,640,"Denver, CO",1936
72359,33021,641,"Miami-Fort Lauderdale, FL",2027
96531,91801,643,"Los Angeles-Long Beach-Anaheim, CA",2259
73202,34748,644,"Orlando, FL",1209
70383,29229,645,"Columbia, SC",1544
65895,19380,646,"Philadelphia, PA",1759
71343,30907,649,"Augusta, GA",1371
60776,7728,651,"New York, NY",2427
94903,85326,653,"Phoenix, AZ",1915
70917,30144,654,"Atlanta, GA",1806
72361,33023,656,"Miami-Fort Lauderdale, FL",2439
72262,32839,657,"Orlando, FL",1594
72907,33914,660,"Fort Myers, FL",1983
97024,92805,661,"Los Angeles-Long Beach-Anaheim, CA",2676
91896,77386,667,"Houston, TX",1766
99120,97206,668,"Portland, OR",1771
90637,75034,669,"Dallas-Fort Worth, TX",1910
96589,92020,670,"San Diego, CA",1837
97760,94553,671,"San Francisco, CA",2485
90701,75115,673,"Dallas-Fort Worth, TX",1876
72527,33308,674,"Miami-Fort Lauderdale, FL",2243
73181,34698,675,"Tampa, FL",1964
96861,92399,678,"Riverside, CA",1756
97075,92882,679,"Riverside, CA",2615
67120,22030,683,"Washington, DC",2048
77918,46032,686,"Indianapolis, IN",1514
86020,63366,689,"St. Louis, MO",1655
67600,23225,690,"Richmond, VA",1246
90687,75093,692,"Dallas-Fort Worth, TX",1813
71039,30319,693,"Atlanta, GA",1888
74590,38016,699,"Memphis, TN",1694
72531,33312,700,"Miami-Fort Lauderdale, FL",2238
61650,10036,701,"New York, NY",3298
70457,29414,702,"Charleston, SC",1691
65897,19382,703,"Philadelphia, PA",1882
62086,11374,706,"New York, NY",2050
94914,85338,707,"Phoenix, AZ",1956
92324,78228,709,"San Antonio, TX",875
69385,27526,710,"Raleigh, NC",1850
84460,60402,712,"Chicago, IL",1324
66828,21218,715,"Baltimore, MD",1328
69446,27606,718,"Raleigh, NC",1372
96974,92656,720,"Los Angeles-Long Beach-Anaheim, CA",2839
96612,92056,721,"San Diego, CA",2488
67587,23185,723,"Virginia Beach, VA",1530
71768,32068,723,"Jacksonville, FL",1851
60454,6810,724,"Stamford, CT",2172
66664,20850,725,"Washington, DC",2181
92326,78230,726,"San Antonio, TX",1062
65813,19146,729,"Philadelphia, PA",1672
96625,92071,733,"San Diego, CA",2346
93210,80020,734,"Denver, CO",2031
96958,92626,735,"Los Angeles-Long Beach-Anaheim, CA",2620
79046,48187,739,"Detroit, MI",1708
73043,34221,741,"North Port-Sarasota-Bradenton, FL",2192
98319,95624,746,"Sacramento, CA",2362
69456,27616,747,"Raleigh, NC",1690
94800,85205,748,"Phoenix, AZ",1699
94948,85374,749,"Phoenix, AZ",1865
90771,75219,751,"Dallas-Fort Worth, TX",2017
65812,19145,753,"Philadelphia, PA",1457
98930,96797,754,"Urban Honolulu, HI",2215
96593,92024,761,"San Diego, CA",3789
70592,29607,765,"Greenville, SC",1360
72834,33810,766,"Lakeland, FL",1796
95815,89119,767,"Las Vegas, NV",1333
67114,22003,768,"Washington, DC",1824
73195,34741,770,"Orlando, FL",1761
67307,22554,775,"Washington, DC",1915
95825,89129,775,"Las Vegas, NV",1807
72394,33065,776,"Miami-Fort Lauderdale, FL",2292
97073,92880,777,"Riverside, CA",2972
96758,92253,779,"Riverside, CA",2874
62658,12550,782,"New York, NY",1559
74591,38017,784,"Memphis, TN",2140
62021,11210,785,"New York, NY",2023
67590,23188,786,"Virginia Beach, VA",1918
61647,10033,787,"New York, NY",2281
90675,75080,788,"Dallas-Fort Worth, TX",1751
99137,97223,790,"Portland, OR",1948
95818,89122,791,"Las Vegas, NV",1641
94846,85254,792,"Phoenix, AZ",2213
67708,23434,793,"Virginia Beach, VA",1364
66622,20774,795,"Washington, DC",1911
69762,28173,798,"Charlotte, NC",2345
92354,78258,799,"San Antonio, TX",1485
85934,63116,801,"St. Louis, MO",822
84329,60073,802,"Chicago, IL",1731
90642,75040,803,"Dallas-Fort Worth, TX",1732
72371,33033,804,"Miami-Fort Lauderdale, FL",2064
69453,27613,806,"Raleigh, NC",1480
97931,95020,807,"San Jose, CA",3365
90783,75231,809,"Dallas-Fort Worth, TX",1216
65814,19147,811,"Philadelphia, PA",1744
70803,30016,814,"Atlanta, GA",1799
91691,77042,815,"Houston, TX",1406
94840,85248,816,"Phoenix, AZ",2239
99947,98661,820,"Portland, OR",1596
66838,21228,824,"Baltimore, MD",1739
96009,90028,824,"Los Angeles-Long Beach-Anaheim, CA",2598
89903,73072,825,"Oklahoma City, OK",1310
97569,94115,826,"San Francisco, CA",3182
96743,92234,827,"Riverside, CA",2702
92610,78681,828,"Austin, TX",1993
97083,93003,828,"Ventura, CA",2774
96520,91786,830,"Riverside, CA",2311
94802,85207,832,"Phoenix, AZ",2170
99583,98125,837,"Seattle, WA",1941
66597,20744,838,"Washington, DC",1863
74649,38111,839,"Memphis, TN",1183
90711,75126,839,"Dallas-Fort Worth, TX",2052
